Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 2	Serie N.º 2	Serie N.º 2	Serie N.º 3	Serie N.º 3	Serie N.º 3	Serie N.º 4	Serie N.º 4	Serie N.º 4	Serie N.º 5	Serie N.º 5	Serie N.º 5	Serie N.º 6	Serie N.º 6	Serie N.º 6	Serie N.º 7	Serie N.º 7	Serie N.º 7	Serie N.º 8	Serie N.º 8	Serie N.º 8	Serie N.º 9	Serie N.º 9	Serie N.º 9
Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)	Tiempo (s)	Fuerza (N)	Voltaje (V)
1,475	-0,08	-0,008	5,900	-0,24	7,739E-5	5,900	-0,24	9,277E-4	5,900	-0,07	8,560E-4	5,900	-0,11	4,336E-4	5,900	-0,12	-0,001	5,900	0,00	9,187E-4	5,900	-0,12	5,509E-4	5,900	0,07	9,611E-4
1,500	-0,05	0,009	6,000	-0,24	-0,002	6,000	-0,24	9,481E-4	6,000	-0,09	8,575E-4	6,000	-0,13	6,841E-4	6,000	-0,12	6,104E-6	6,000	-0,16	9,358E-4	6,000	-0,12	2,893E-5	6,000	0,06	9,359E-4
1,525	-0,20	-0,045	6,100	-0,24	-0,005	6,100	-0,24	9,563E-4	6,100	-0,06	8,524E-4	6,100	-0,13	8,411E-4	6,100	-0,12	4,678E-4	6,100	-0,31	8,641E-4	6,100	-0,13	-0,002	6,100	0,09	9,243E-4
1,550	-0,31	0,018	6,200	-0,24	-0,002	6,200	-0,24	9,237E-4	6,200	-0,16	8,575E-4	6,200	-0,12	9,374E-4	6,200	-0,12	7,307E-4	6,200	-0,24	8,972E-4	6,200	-0,12	-0,005	6,200	0,05	9,661E-4
1,575	-0,33	-0,039	6,300	-0,24	0,007	6,300	-0,24	8,820E-4	6,300	-0,12	8,455E-4	6,300	-0,11	0,001	6,300	-0,12	8,593E-4	6,300	-0,28	9,086E-4	6,300	-0,11	-6,809E-4	6,300	0,09	9,659E-4
1,600	-0,37	0,028	6,400	-0,24	0,005	6,400	-0,24	9,260E-4	6,400	-0,15	8,424E-4	6,400	-0,13	0,001	6,400	-0,12	9,893E-4	6,400	-0,37	9,103E-4	6,400	-0,12	0,007	6,400	0,03	9,172E-4
1,625	-0,36	-0,032	6,500	-0,24	0,002	6,500	-0,24	8,743E-4	6,500	-0,14	8,398E-4	6,500	-0,12	0,002	6,500	-0,12	0,001	6,500	-0,34	9,119E-4	6,500	-0,13	0,004	6,500	0,00	9,532E-4
1,650	-0,35	0,037	6,600	-0,24	0,001	6,600	-0,24	9,377E-4	6,600	-0,14	7,321E-4	6,600	-0,11	0,004	6,600	-0,12	0,002	6,600	-0,19	9,830E-4	6,600	-0,11	0,002	6,600	-0,04	9,229E-4
1,675	-0,39	-0,023	6,700	-0,23	0,001	6,700	-0,25	8,857E-4	6,700	-0,13	6,439E-4	6,700	-0,12	0,008	6,700	-0,12	0,003	6,700	-0,11	9,756E-4	6,700	-0,12	0,001	6,700	-0,07	9,448E-4
1,700	-0,30	0,039	6,800	-0,25	8,986E-4	6,800	-0,24	9,127E-4	6,800	-0,14	3,638E-4	6,800	-0,12	0,004	6,800	-0,12	0,007	6,800	-0,11	9,655E-4	6,800	-0,12	9,886E-4	6,800	-0,13	9,659E-4
1,725	-0,13	-0,007	6,900	-0,24	7,516E-4	6,900	-0,24	8,636E-4	6,900	-0,15	-2,487E-4	6,900	-0,12	-0,007	6,900	-0,12	0,008	6,900	-0,12	0,001	6,900	-0,12	8,163E-4	6,900	-0,17	9,606E-4
1,750	-0,09	0,010	7,000	-0,25	4,154E-4	7,000	-0,23	9,037E-4	7,000	-0,13	-0,002	7,000	-0,11	-0,004	7,000	-0,12	-0,004	7,000	-0,15	0,001	7,000	-0,11	6,161E-4	7,000	-0,10	9,746E-4
1,775	-0,02	-0,008	7,100	-0,24	-5,310E-4	7,100	-0,24	8,746E-4	7,100	-0,14	-0,005	7,100	-0,13	-0,001	7,100	-0,12	-0,006	7,100	-0,09	0,001	7,100	-0,12	2,816E-4	7,100	-0,11	9,786E-4
1,800	-0,07	0,009	7,200	-0,24	-0,003	7,200	-0,24	8,512E-4	7,200	-0,14	2,478E-5	7,200	-0,12	4,761E-5	7,200	-0,13	-0,002	7,200	-0,12	0,002	7,200	-0,12	-8,563E-4	7,200	-0,13	0,001
1,825	-0,19	-0,009	7,300	-0,24	-0,005	7,300	-0,24	8,816E-4	7,300	-0,14	0,007	7,300	-0,12	5,448E-4	7,300	-0,12	-3,264E-4	7,300	-0,12	0,003	7,300	-0,12	-0,004	7,300	-0,13	0,001
1,850	-0,19	0,009	7,400	-0,24	0,003	7,400	-0,24	8,732E-4	7,400	-0,13	0,004	7,400	-0,12	7,449E-4	7,400	-0,12	3,472E-4	7,400	-0,13	0,006	7,400	-0,12	-0,003	7,400	-0,11	0,001
1,875	-0,20	-0,009	7,500	-0,24	0,007	7,500	-0,24	8,668E-4	7,500	-0,14	0,002	7,500	-0,13	9,115E-4	7,500	-0,12	6,597E-4	7,500	-0,10	0,002	7,500	-0,12	0,006	7,500	-0,12	0,001
1,900	-0,17	0,009	7,600	-0,24	0,003	7,600	-0,24	9,009E-4	7,600	-0,14	0,001	7,600	-0,12	0,001	7,600	-0,12	8,466E-4	7,600	-0,12	-0,005	7,600	-0,12	0,005	7,600	-0,13	0,002
1,925	-0,22	-0,021	7,700	-0,25	0,002	7,700	-0,24	8,727E-4	7,700	-0,13	9,957E-4	7,700	-0,12	0,001	7,700	-0,12	9,991E-4	7,700	-0,14	-0,002	7,700	-0,12	0,002	7,700	-0,11	0,004
1,950	-0,40	0,016	7,800	-0,24	0,001	7,800	-0,24	9,111E-4	7,800	-0,13	8,900E-4	7,800	-0,12	0,002	7,800	-0,12	0,001	7,800	-0,11	-2,878E-4	7,800	-0,12	0,001	7,800	-0,11	0,006
1,975	-0,47	-0,036	7,900	-0,25	9,570E-4	7,900	-0,24	8,959E-4	7,900	-0,15	7,489E-4	7,900	-0,13	0,003	7,900	-0,12	0,002	7,900	-0,11	4,510E-4	7,900	-0,12	0,001	7,900	-0,12	0,001
2,000	-0,54	0,017	8,000	-0,24	7,927E-4	8,000	-0,24	9,241E-4	8,000	-0,14	5,710E-4	8,000	-0,12	0,007	8,000	-0,12	0,003	8,000	-0,12	7,504E-4	8,000	-0,12	9,143E-4	8,000	-0,13	-0,005
2,025	-0,59	-0,041	8,100	-0,23	6,179E-4	8,100	-0,24	9,041E-4	8,100	-0,13	2,811E-4	8,100	-0,11	0,007	8,100	-0,12	0,005	8,100	-0,14	8,547E-4	8,100	-0,11	7,261E-4	8,100	-0,11	-0,002
2,050	-0,48	0,027	8,200	-0,24	2,214E-4	8,200	-0,24	9,333E-4	8,200	-0,14	-5,044E-4	8,200	-0,13	-0,005	8,200	-0,12	0,009	8,200	-0,11	9,987E-4	8,200	-0,12	4,811E-4	8,200	-0,11	-1,428E-4
2,075	-0,41	-0,034	8,300	-0,24	-7,998E-4	8,300	-0,24	9,122E-4	8,300	-0,14	-0,003	8,300	-0,12	-0,006	8,300	-0,12	5,959E-4	8,300	-0,11	0,001	8,300	-0,12	-2,518E-4	8,300	-0,13	4,415E-4
2,100	-0,47	0,029	8,400	-0,25	-0,004	8,400	-0,24	9,009E-4	8,400	-0,13	-0,007	8,400	-0,11	-0,002	8,400	-0,12	-0,007	8,400	-0,14	0,002	8,400	-0,12	-0,002	8,400	-0,12	7,736E-4
2,125	-0,48	-0,033	8,500	-0,24	-0,005	8,500	-0,24	8,876E-4	8,500	-0,14	-0,002	8,500	-0,12	-2,384E-4	8,500	-0,12	-0,003	8,500	-0,12	0,002	8,500	-0,11	-0,005	8,500	-0,11	9,352E-4
